sampleID,Code,dry_weight
21MBPM5R1FW,M_10,3.6253
21MBPM5R1UE,M_15,3.8169
21MBPM5R2,M_95,3.8045
21MBPM5R2FW,M_100,3.3569
21MBPM5R2UE,M_105,3.5191
21MBPM5R3,M_185,3.6386
21MBPM5R3FW,M_190,3.6977
21MBPM5R3UE,M_195,3.3572
21MBPS1R1,M_16,3.3751
21MBPS1R1FW,M_26,3.646
21MBPS1R1UE,M_21,4.0042
21MBPS1R2,M_106,3.2735
21MBPS1R2FW,M_116,3.3001
21MBPS1R2UE,M_111,3.2871
21MBPS1R3,M_196,3.9024
21MBPS1R3FW,M_206,3.0817
21MBPS1R3UE,M_201,3.4189
21MBPS2R1,M_17,3.6057
21MBPS2R1FW,M_27,3.4792
21MBPS2R1UE,M_22,3.9038
21MBPS2R2,M_107,3.8087
21MBPS2R2FW,M_117,2.9777
21MBPS2R2UE,M_112,2.9648
21MBPS2R3,M_197,3.0729
21MBPS2R3FW,M_207,2.9626
21MBPS2R3UE,M_202,3.2149
21MBPS3R1,M_18,3.6467
21MBPS3R1FW,M_28,3.5314
21MBPS3R1UE,M_23,3.5518
21MBPS3R2,M_108,3.662
21MBPS3R2FW,M_118,3.3831
21MBPS3R2UE,M_113,3.3081
21MBPS3R3,M_198,2.9714
21MBPS3R3FW,M_208,3.2779
21MBPS3R3UE,M_203,3.8505
21MBPS4R1,M_19,3.2387
21MBPS4R1FW,M_29,3.5857
21MBPS4R1UE,M_24,3.6152
21MBPS4R2,M_109,3.5403
21MBPS4R2FW,M_119,3.3123
21MBPS4R2UE,M_114,3.1793
21MBPS4R3,M_199,5.359
21MBPS4R3FW,M_209,3.5029
21MBPS4R3UE,M_204,3.5391
21MBPS5R1,M_20,3.6038
21MBPS5R1FW,M_30,3.0014
21MBPS5R1UE,M_25,3.8341
21MBPS5R2,M_110,3.0907
21MBPS5R2FW,M_120,3.0219
21MBPS5R2UE,M_115,3.3993
21MBPS5R3,M_200,3.4263
21MBPS5R3FW,M_210,3.4533
21MBPS5R3UE,M_205,3.7275
21MBSH1R1,M_61,4.9324
21MBSH1R1FW,M_71,4.8243
21MBSH1R1UE,M_66,5.4419
21MBSH1R2,M_151,5.0345
21MBSH1R2FW,M_161,5.1171
21MBSH1R2UE,M_156,3.6075
21MBSH1R3,M_241,3.0183
21MBSH1R3FW,M_251,5.0364
21MBSH1R3UE,M_246,3.6961
21MBSH2R1,M_62,5.2367
21MBSH2R1FW,M_72,4.8939
21MBSH2R1UE,M_67,3.8129
21MBSH2R2,M_152,5.4672
21MBSH2R2FW,M_162,5.0512
21MBSH2R2UE,M_157,3.1411
21MBSH2R3,M_242,4.9449
21MBSH2R3FW,M_252,5.1635
21MBSH2R3UE,M_247,5.1072
21MBSH3R1,M_63,4.2326
21MBSH3R1FW,M_73,3.2631
21MBSH3R1UE,M_68,4.4819
21MBSH3R2,M_153,5.2394
21MBSH3R2FW,M_163,3.5387
21MBSH3R2UE,M_158,3.6138
21MBSH3R3,M_243,5.2906
21MBSH3R3FW,M_253,3.0254
21MBSH3R3UE,M_248,3.2978
21MBSH4R1,M_64,5.121
21MBSH4R1FW,M_74,4.9597
21MBSH4R1UE,M_69,5.3731
21MBSH4R2,M_154,5.0381
21MBSH4R2FW,M_164,5.4139
21MBSH4R2UE,M_159,3.1923
